name,type,manufacturer,first_flight,status,range_km,cruise_speed_kmh,max_speed_kmh,capacity_passengers,crew,length_m,wingspan_m,era,mission,key_features,design_philosophy,short_description
Starck AS-80 Holiday,aircraft,,,,,,,,,,,Various,aircraft,French two-seat light aircraft,Wikipedia-sourced via Wikidata,French two-seat light aircraft
Starck AS-37,aircraft,,,,,,,,,,,Various,aircraft,French two-seat light aircraft,Wikipedia-sourced via Wikidata,French two-seat light aircraft
Starck AS-57,aircraft,,,,,,,,,,,Various,aircraft,French two-seat light aircraft,Wikipedia-sourced via Wikidata,French two-seat light aircraft
Starr Bumble Bee II,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stearman 4,aircraft,,,,,,,,,,,Various,aircraft,commercial biplane aircraft,Wikipedia-sourced via Wikidata,commercial biplane aircraft
Stearman Cloudboy,aircraft,,,,,,,,,,,Various,aircraft,1930s American trainer aircraft,Wikipedia-sourced via Wikidata,1930s American trainer aircraft
Stearman C2,aircraft,,,,,,,,,,,Various,aircraft,1920's United States 3-seat utility biplane,Wikipedia-sourced via Wikidata,1920's United States 3-seat utility biplane
Stearman M-2 Speedmail,aircraft,,,,,,,,,,,Various,aircraft,1920's American Aircraft,Wikipedia-sourced via Wikidata,1920's American Aircraft
Stedman TS-1 City of Leeds,aircraft,,,,,,,,,,,Various,aircraft,"British two-seat glider, 1939",Wikipedia-sourced via Wikidata,"British two-seat glider, 1939"
Steen Skybolt,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Steere Bodacious,aircraft,,,,,,,,,,,Various,aircraft,The Steere Bodacious is an American ultralight aircraft,Wikipedia-sourced via Wikidata,The Steere Bodacious is an American ultralight aircraft
Steinruck SCS-1,aircraft,,,,,,,,,,,Various,aircraft,American glider,Wikipedia-sourced via Wikidata,American glider
Stephens Akro,aircraft,,,,,,,,,,,Various,aircraft,Single engine monoplane,Wikipedia-sourced via Wikidata,Single engine monoplane
Stevens SU-1,aircraft,,,,,,,,,,,Various,aircraft,American glider,Wikipedia-sourced via Wikidata,American glider
Stewart Foo Fighter,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stewart Headwind,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stewart M-2,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stewart M-1,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stinson 108,aircraft,,,,,,,,,,,Various,aircraft,popular single-engine high-winged monoplane produced 1946-1950,Wikipedia-sourced via Wikidata,popular single-engine high-winged monoplane produced 1946-1950
Stinson Model A,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stits Playboy,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stits-Besler Executive,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stits SA-5 Flut-R-Bug,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stits SA-11A Playmate,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stits SA-2A Sky Baby,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stits SA-7 Sky-Coupe,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stits SA-8 Skeeto,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stoddard-Hamilton Glasair II,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt light aircraft,Wikipedia-sourced via Wikidata,American homebuilt light aircraft
Stoddard-Hamilton T-9 Stalker,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stolp Acroduster,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Stolp Acroduster Too,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stolp Starduster,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stolp Starduster Too,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stolp SA-500 Starlet,aircraft,,,,,,,,,,,Various,aircraft,American light aircraft,Wikipedia-sourced via Wikidata,American light aircraft
Storm Century,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Storm Rally,aircraft,,,,,,,,,,,Various,aircraft,Italian sports aircraft,Wikipedia-sourced via Wikidata,Italian sports aircraft
Stout Batwing Limousine,aircraft,,,,,,,,,,,Various,aircraft,"Single-engine, high-wing cantilever aircraft",Wikipedia-sourced via Wikidata,"Single-engine, high-wing cantilever aircraft"
Stout Batwing,aircraft,,,,,,,,,,,Various,aircraft,experimental aircraft,Wikipedia-sourced via Wikidata,experimental aircraft
Stout Bushmaster 2000,aircraft,,,,,,,,,,,Various,aircraft,Hayden aircraft,Wikipedia-sourced via Wikidata,Hayden aircraft
Stralpes Aéro ST-11,aircraft,,,,,,,,,,,Various,aircraft,"French single-seat glider, 1982",Wikipedia-sourced via Wikidata,"French single-seat glider, 1982"
Striplin F.L.A.C.,aircraft,,,,,,,,,,,Various,aircraft,American ultralight aircraft,Wikipedia-sourced via Wikidata,American ultralight aircraft
Striplin Lone Ranger,aircraft,,,,,,,,,,,Various,aircraft,family of American ultralight aircraft designed by Ken Striplin,Wikipedia-sourced via Wikidata,family of American ultralight aircraft designed by Ken Striplin
Strojnik S-2,aircraft,,,,,,,,,,,Various,aircraft,American motorglider,Wikipedia-sourced via Wikidata,American motorglider
Sud-Est Grognard,aircraft,,,,,,,,,,,Various,aircraft,1950 French ground-attack aircraft,Wikipedia-sourced via Wikidata,1950 French ground-attack aircraft
Sullivan Model K-3 Crested Harpy,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Summit 2,aircraft,,,,,,,,,,,Various,aircraft,American powered parachute,Wikipedia-sourced via Wikidata,American powered parachute
Summit 103 Mini Breeze,aircraft,,,,,,,,,,,Various,aircraft,American powered parachute,Wikipedia-sourced via Wikidata,American powered parachute
Summit Steel Breeze,aircraft,,,,,,,,,,,Various,aircraft,American powered parachute,Wikipedia-sourced via Wikidata,American powered parachute
Sunderland MOBA 2,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Sunward Aurora,aircraft,,,,,,,,,,,Various,aircraft,Chinese light-sport aircraft,Wikipedia-sourced via Wikidata,Chinese light-sport aircraft
Super 18 Model S18-180,aircraft,,,,,,,,,,,Various,aircraft,Light aircraft,Wikipedia-sourced via Wikidata,Light aircraft
Super Rotor Andorinha,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Supermarine 525,aircraft,,,,,,,,,,,Various,aircraft,1950s British prototype fighter aircraft,Wikipedia-sourced via Wikidata,1950s British prototype fighter aircraft
T-X,aircraft,,,,,,,,,,,Various,aircraft,military training aircraft development program,Wikipedia-sourced via Wikidata,military training aircraft development program
TAI Keklik,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
THK-2,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Tachikawa Ki-94,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Taggart GyroBee,aircraft,,,,,,,,,,,Various,aircraft,American gyroplane,Wikipedia-sourced via Wikidata,American gyroplane
Taiwan Dancer TD-3,aircraft,,,,,,,,,,,Various,aircraft,Taiwanese amateur-built aircraft,Wikipedia-sourced via Wikidata,Taiwanese amateur-built aircraft
Tapanee Levitation 4,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Tapanee Pegazair-100,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
TeST TST-13 Junior,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
TeST TST-14 Bonus,aircraft,,,,,,,,,,,Various,aircraft,Czech piston-powered motor glider,Wikipedia-sourced via Wikidata,Czech piston-powered motor glider
Team Mini-Max AeroMax,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Temco D-16,aircraft,,,,,,,,,,,Various,aircraft,American civil aircraft,Wikipedia-sourced via Wikidata,American civil aircraft
The Airplane Factory Sling,aircraft,,,,,,,,,,,Various,aircraft,South African two-seater light aircraft introduced in 2009,Wikipedia-sourced via Wikidata,South African two-seater light aircraft introduced in 2009
The Butterfly Super Sky Cycle,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
The Butterfly Monarch,aircraft,,,,,,,,,,,Various,aircraft,American autogyro,Wikipedia-sourced via Wikidata,American autogyro
The Free Life,aircraft,,,,,,,,,,,Various,aircraft,Balloon disappearance,Wikipedia-sourced via Wikidata,Balloon disappearance
The Galloping Ghost,aircraft,,,,,,,,,,,Various,aircraft,Race aircraft,Wikipedia-sourced via Wikidata,Race aircraft
Thomas-Morse MB-9,aircraft,,,,,,,,,,,Various,aircraft,1920s experimental fighter aircraft,Wikipedia-sourced via Wikidata,1920s experimental fighter aircraft
Thomas-Morse MB-6,aircraft,,,,,,,,,,,Various,aircraft,American racing aircraft,Wikipedia-sourced via Wikidata,American racing aircraft
Thorp T-5,aircraft,,,,,,,,,,,Various,aircraft,The Boeing T-5 or Thorp T-5 was a student-built aircraft that was designed by John Thorp for the Boeing School of Aeronautics,Wikipedia-sourced via Wikidata,The Boeing T-5 or Thorp T-5 was a student-built aircraft that was designed by John Thorp for the Boeing School of Aeronautics
Thruster T600 Sprint,aircraft,,,,,,,,,,,Various,aircraft,British ultralight aircraft,Wikipedia-sourced via Wikidata,British ultralight aircraft
Tiger Club Development Sherwood Ranger,aircraft,,,,,,,,,,,Various,aircraft,aircraft model,Wikipedia-sourced via Wikidata,aircraft model
Titan Tornado,aircraft,,,,,,,,,,,Various,aircraft,ultralight aircraft,Wikipedia-sourced via Wikidata,ultralight aircraft
Titan T-51 Mustang,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt airplane,Wikipedia-sourced via Wikidata,American homebuilt airplane
Travel Air Type R Mystery Ship,aircraft,,,,,,,,,,,Various,aircraft,early model of racing airplane,Wikipedia-sourced via Wikidata,early model of racing airplane
Tri-R KIS TR-4 Cruiser,aircraft,,,,,,,,,,,Various,aircraft,4 seater plane,Wikipedia-sourced via Wikidata,4 seater plane
Trixy G 4-2 R,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Tupolev Tu-8,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
UFM Easy Riser,aircraft,,,,,,,,,,,Various,aircraft,American ultralight aircraft and glider,Wikipedia-sourced via Wikidata,American ultralight aircraft and glider
UFO HeliThruster,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
UL-Jih Evolution,aircraft,,,,,,,,,,,Various,aircraft,Czech ultralight aircraft,Wikipedia-sourced via Wikidata,Czech ultralight aircraft
UL-Jih Fascination,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
ULBI Wild Thing,aircraft,,,,,,,,,,,Various,aircraft,German ultralight aircraft,Wikipedia-sourced via Wikidata,German ultralight aircraft
Ultimate Aircraft 10 Dash,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Ultravia Pelican,aircraft,,,,,,,,,,,Various,aircraft,"Canadian high-wing, single-engine, tractor configuration ultralight aircraft",Wikipedia-sourced via Wikidata,"Canadian high-wing, single-engine, tractor configuration ultralight aircraft"
Caproni Ca.127,aircraft,,,,,,,,,,,Various,aircraft,1930s Italian aircraft,Wikipedia-sourced via Wikidata,1930s Italian aircraft
Brutsche Freedom 40,aircraft,Brutsche Aircraft Corporation,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft design,Wikipedia-sourced via Wikidata,American homebuilt aircraft design
Giles G-200,aircraft,AkroTech Aviation,,Active,,,,,,,,Various,aircraft,American homebuilt aerobatic aircraft,Wikipedia-sourced via Wikidata,American homebuilt aerobatic aircraft
Stoddard-Hamilton Glasair III,aircraft,Stoddard-Hamilton Aircraft,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Green Sky Zippy Sport,aircraft,Green Sky Adventures,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Harris Geodetic LW 108,aircraft,,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Hatz Classic,aircraft,,,Active,,,,,,,,Various,aircraft,American homebuilt biplane,Wikipedia-sourced via Wikidata,American homebuilt biplane
Heldeberg Marathon,aircraft,,,Active,,,,,,,,Various,aircraft,American design for powered parachute,Wikipedia-sourced via Wikidata,American design for powered parachute
Aurore MB 04 Souris Bulle,aircraft,Aurore Sarl,,Active,,,,,,,,Various,aircraft,French ultralight aircraft,Wikipedia-sourced via Wikidata,French ultralight aircraft
Lamco Eurocub,aircraft,,,Active,,,,,,,,Various,aircraft,Hungarian ultralight aircraft,Wikipedia-sourced via Wikidata,Hungarian ultralight aircraft
JDT Hi-MAX,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Peris JN-1,aircraft,,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Jurca Gnatsum,aircraft,,,Active,,,,,,,,Various,aircraft,series of homebuilt replica fighter aircraft,Wikipedia-sourced via Wikidata,series of homebuilt replica fighter aircraft
Kelly-D,aircraft,,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Tri-R KIS TR-1,aircraft,Tri-R Technologies,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Lamson Air Tractor,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Associated Air Liberty 181,aircraft,,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Light Miniature Aircraft LM-1,aircraft,Light Miniature Aircraft,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Reflex Lightning Bug,aircraft,Reflex Fiberglass Works,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Henderson Little Bear,aircraft,,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Merkel Mark II,aircraft,,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Frontier MD-II,aircraft,,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Las Brisas Mohawk,aircraft,,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Marske Monarch,aircraft,Marske Aircraft,,Active,,,,,,,,Various,aircraft,American glider,Wikipedia-sourced via Wikidata,American glider
Mooney M22 Mustang,aircraft,Mooney International Corporation,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Nesmith Cougar,aircraft,Acro Sport,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Historical P-40C Tomahawk,aircraft,Historical Aircraft Corporation,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Rowley P-40F,aircraft,,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Historical P-51 Mustang,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt fighter replica,Wikipedia-sourced via Wikidata,American homebuilt fighter replica
Stewart S-51D Mustang,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt fighter replica,Wikipedia-sourced via Wikidata,American homebuilt fighter replica
Sauser P6E Replica,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Aviation Products Star Trike,aircraft,,,,,,,,,,,Various,aircraft,German ultralight trike,Wikipedia-sourced via Wikidata,German ultralight trike
Historical PZL P.11c,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Midwest Questar Arrowstar,aircraft,,,,,,,,,,,Various,aircraft,American ultralight aircraft,Wikipedia-sourced via Wikidata,American ultralight aircraft
Midwest Questar Open Aire,aircraft,,,,,,,,,,,Various,aircraft,American ultralight aircraft,Wikipedia-sourced via Wikidata,American ultralight aircraft
Midwest Questar Sport,aircraft,,,,,,,,,,,Various,aircraft,American ultralight aircraft,Wikipedia-sourced via Wikidata,American ultralight aircraft
Midwest Questar XLS,aircraft,,,,,,,,,,,Various,aircraft,American ultralight aircraft design,Wikipedia-sourced via Wikidata,American ultralight aircraft design
Southern Aeronautical Scamp,aircraft,,,,,,,,,,,Various,aircraft,American aircraft designed for home construction and Formula V Air Racing,Wikipedia-sourced via Wikidata,American aircraft designed for home construction and Formula V Air Racing
Southern Aeronautical Renegade,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Historical Ryan STA,aircraft,,,,,,,,,,,Various,aircraft,American light aircraft,Wikipedia-sourced via Wikidata,American light aircraft
Stolp SA-900 V-Star,aircraft,,,,,,,,,,,Various,aircraft,American light aircraft,Wikipedia-sourced via Wikidata,American light aircraft
Rans S-20 Raven,aircraft,,,,,,,,,,,Various,aircraft,American light-sport aircraft design,Wikipedia-sourced via Wikidata,American light-sport aircraft design
Skipper Scrappy UAC-200,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
SkyDancer SD-260,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Blériot-SPAD S.29,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Express Series 90,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Smith Termite,aircraft,,,,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Early Bird Spad 13,aircraft,,,,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
LibertyKite,aircraft,Cousin Trectec,,Active,,,,,,,,Various,aircraft,freestanding kite designed to tow pleasure boats from 4 to 18m,Wikipedia-sourced via Wikidata,freestanding kite designed to tow pleasure boats from 4 to 18m
Navy balloon A-5598,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Navy balloon A-5598. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Navy balloon A-5598. Source: Wikidata (links to Wikipedia).
R34,aircraft,,,Active,,,,,,,,Various,aircraft,Royal Air Force airship,Wikipedia-sourced via Wikidata,Royal Air Force airship
A-5468,aircraft,,,Active,,,,,,,,Various,aircraft,blimp of the United States Navy,Wikipedia-sourced via Wikidata,blimp of the United States Navy
A-5587,aircraft,,,Active,,,,,,,,Various,aircraft,blimp of the United States Navy,Wikipedia-sourced via Wikidata,blimp of the United States Navy
A-5592,aircraft,,,Active,,,,,,,,Various,aircraft,blimp of the United States Navy,Wikipedia-sourced via Wikidata,blimp of the United States Navy
A-5593,aircraft,,,Active,,,,,,,,Various,aircraft,blimp of the United States Navy,Wikipedia-sourced via Wikidata,blimp of the United States Navy
N216MH,aircraft,Bell Textron,,Active,,,,,,,,Various,aircraft,Bell 206L-4 LongRanger IV helicopter,Wikipedia-sourced via Wikidata,Bell 206L-4 LongRanger IV helicopter
D-OTRI,aircraft,,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
K-47,aircraft,,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
LZ 56 / LZ 86,aircraft,,,Active,,,,,,,,Various,aircraft,1915 Zeppelin P-class rigid airship,Wikipedia-sourced via Wikidata,1915 Zeppelin P-class rigid airship
Beatfly,aircraft,,,Active,,,,,,,,Various,aircraft,conceptual artwork by Hideki Yoshimoto,Wikipedia-sourced via Wikidata,conceptual artwork by Hideki Yoshimoto
Gossamer Albatross,aircraft,,,Active,,,,,,,,Various,aircraft,human-powered aircraft developed by American aeronautics company AeroVironment,Wikipedia-sourced via Wikidata,human-powered aircraft developed by American aeronautics company AeroVironment
Flyer I,aircraft,,1903,Active,852,,48,1,,253,484,Various,aircraft,"heavier-than-air powered aircraft, designed and built by the Wright Brothers",Wikipedia-sourced via Wikidata,"heavier-than-air powered aircraft, designed and built by the Wright Brothers"
Curtiss R3C,aircraft,Curtiss,,Active,,,,,,,,Various,aircraft,1925 racing monoplane series by Curtiss,Wikipedia-sourced via Wikidata,1925 racing monoplane series by Curtiss
Göppingen Gö 9,aircraft,Schempp-Hirth,1940,Active,,,220,,,6.8,7.2,Various,aircraft,"German research aircraft, 1941",Wikipedia-sourced via Wikidata,"German research aircraft, 1941"
Avia BH-28,aircraft,Avia,1927,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Beriev Be-2500,aircraft,Beriev,,Active,,,,,,,,Various,aircraft,Russian super heavy amphibious transport aircraft currently in design and development,Wikipedia-sourced via Wikidata,Russian super heavy amphibious transport aircraft currently in design and development
Bölkow Bo 207,aircraft,Bölkow,1960,Active,,,,,,,,Various,aircraft,single engine type of aircraft,Wikipedia-sourced via Wikidata,single engine type of aircraft
de Havilland DH 108,aircraft,de Havilland Aircraft Company,,Active,,,,,,,,Various,aircraft,1945 British experimental aircraft,Wikipedia-sourced via Wikidata,1945 British experimental aircraft
Piaggio P.136,aircraft,Piaggio Aerospace,,Active,,,,,,,,Various,aircraft,flying boat,Wikipedia-sourced via Wikidata,flying boat
Agrupación Aérea Presidencial,aircraft,,,Active,,,,,,,,Various,aircraft,the Argentine president's personal air fleet,Wikipedia-sourced via Wikidata,the Argentine president's personal air fleet
Convair XF-92,aircraft,Convair,1948,Active,,,,,,,,Various,aircraft,military aircraft,Wikipedia-sourced via Wikidata,military aircraft
Comac C909,airliner,Comac,2008,Active,,,,,,,,Various,airliner,aircraft manufactured by Comac,Wikipedia-sourced via Wikidata,aircraft manufactured by Comac
DJI Phantom 3 4K,aircraft,DJI,,Active,,,,,,,,Various,aircraft,unmanned aerial photography and videography drone,Wikipedia-sourced via Wikidata,unmanned aerial photography and videography drone
S-71 Monochrom,aircraft,Tactical Missiles Corporation,,Active,,,,,,,,Various,aircraft,Russian combat drone,Wikipedia-sourced via Wikidata,Russian combat drone
DJI Phantom 4,aircraft,DJI,,Active,,,,,,,,Various,aircraft,unmanned aerial photography and videography drone,Wikipedia-sourced via Wikidata,unmanned aerial photography and videography drone
SKAT 350M,aircraft,Kalashnikov Concern,2024,Active,,,,,,,,Various,aircraft,Russian reconnaissance drone,Wikipedia-sourced via Wikidata,Russian reconnaissance drone
Antigravity A1,aircraft,,,Active,,,,,,,,Various,aircraft,Chinese 360-degree camera drone,Wikipedia-sourced via Wikidata,Chinese 360-degree camera drone
Albatros M5,aircraft,,2023,Active,,,,,,,,Various,aircraft,Russian reconnaissance drone,Wikipedia-sourced via Wikidata,Russian reconnaissance drone
K-2 (drone),aircraft,,2013,Active,,,,,,,,Various,aircraft,Russian multi-purpose drone,Wikipedia-sourced via Wikidata,Russian multi-purpose drone
Gryphon 12,aircraft,,,Active,,,,,,,,Various,aircraft,Russian multi-purpose drone,Wikipedia-sourced via Wikidata,Russian multi-purpose drone
P1-Sun,aircraft,,,Active,,,,,,,,Various,aircraft,ukrainian interceptor drone,Wikipedia-sourced via Wikidata,ukrainian interceptor drone
T7-210,aircraft,,,Active,,,,,,,,Various,aircraft,Gulfstream G280 aircraft with c/n 2030,Wikipedia-sourced via Wikidata,Gulfstream G280 aircraft with c/n 2030
T7-280,aircraft,,,Active,,,,,,,,Various,aircraft,Gulfstream G280 aircraft with c/n 2181,Wikipedia-sourced via Wikidata,Gulfstream G280 aircraft with c/n 2181
T7-ANJ,aircraft,,,Active,,,,,,,,Various,aircraft,Cessna 750 Citation X aircraft with c/n 750-0075,Wikipedia-sourced via Wikidata,Cessna 750 Citation X aircraft with c/n 750-0075
T7-MBS,aircraft,,,Active,,,,,,,,Various,aircraft,Dassault Falcon 6X aircraft with c/n 006,Wikipedia-sourced via Wikidata,Dassault Falcon 6X aircraft with c/n 006
T7-OCC,aircraft,,,Active,,,,,,,,Various,aircraft,Cessna 750 Citation X aircraft with c/n 750-0291,Wikipedia-sourced via Wikidata,Cessna 750 Citation X aircraft with c/n 750-0291
T7-S5Z,aircraft,,,Active,,,,,,,,Various,aircraft,Cessna 510 Citation Mustang aircraft with c/n 510-0307,Wikipedia-sourced via Wikidata,Cessna 510 Citation Mustang aircraft with c/n 510-0307
T7-TFC,aircraft,,,Active,,,,,,,,Various,aircraft,Learjet 31A aircraft with c/n 31-170,Wikipedia-sourced via Wikidata,Learjet 31A aircraft with c/n 31-170
T7-VIR,aircraft,,,Active,,,,,,,,Various,aircraft,Gulfstream G280 aircraft with c/n 2297,Wikipedia-sourced via Wikidata,Gulfstream G280 aircraft with c/n 2297
MIT Daedalus,aircraft,,,Active,,,,,,,,Various,aircraft,experimental aircraft,Wikipedia-sourced via Wikidata,experimental aircraft
Musculair,aircraft,,,Active,,,,,,,,Various,aircraft,1980s German human-powered aircraft,Wikipedia-sourced via Wikidata,1980s German human-powered aircraft
Mikoyan-Gurevich MiG-105,aircraft,Russian Aircraft Corporation MiG,1976,Active,,,,,,,,Various,aircraft,proposed Russian spaceplane,Wikipedia-sourced via Wikidata,proposed Russian spaceplane
Henschel Hs 125,aircraft,Henschel & Sohn,1934,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Ryan X-13 Vertijet,aircraft,Ryan Aeronautical,1956,Retired,,,,,,7.14,6.4,Various,aircraft,experimental vertical take-off and landing (VTOL) jet aircraft,Wikipedia-sourced via Wikidata,experimental vertical take-off and landing (VTOL) jet aircraft
